parameter,base_value,new_value,V0,num_bankruptcies,V0_base,percentage_change_from_base
r_f,0.0075527253608402845,0.008307997896924314,372234.06784905586,395929,405955.5450784761,-8.306692109083384
mu_0,0.023439084126767068,0.025782992539443775,416567.7511825664,394866,405955.5450784761,2.614130101865921
mu_mean,0.0075,0.00825,435420.3240699956,389698,405955.5450784761,7.2581294549933135
sigma_0,0.1451906623264087,0.15970972855904958,397768.2731486399,389624,405955.5450784761,-2.0167902690560595
sigma_mean,0.05,0.05500000000000001,393138.52227900806,389217,405955.5450784761,-3.157247869835189
eta_0,0.03,0.033,578361.126970542,419114,405955.5450784761,42.469079184209164
phi_0,0.06906491431177234,0.07597140574294957,393594.05738298333,402858,405955.5450784761,-3.0450348185546083
phi_mean,0.03453245715588617,0.037985702871474784,398044.0175606078,402346,405955.5450784761,-1.9488654887911117
lambda_R,-0.0025658346912662937,-0.0028224181603929235,406891.2067231458,392630,405955.5450784761,0.2304837699627531
lambda_mu,-0.0017130822328052732,-0.0018843904560858007,407230.9914221914,392541,405955.5450784761,0.31418374725457776
lambda_gamma,0.0003337782005807283,0.00036715602063880115,405855.8392273459,392694,405955.5450784761,-0.024560780691125474
kappa_mu,0.09,0.099,298965.7072809777,372768,405955.5450784761,-26.35506254183964
kappa_eta,0.0299573227355399,0.032953055009093894,356886.28922294243,381353,405955.5450784761,-12.0873471123662
kappa_sigma,0.0299573227355399,0.032953055009093894,416625.0552294637,392306,405955.5450784761,2.6282459447437905
kappa_gamma,0.0299573227355399,0.032953055009093894,423319.6127560145,383422,405955.5450784761,4.277332305974968
kappa_phi,0.0299573227355399,0.032953055009093894,410064.69759196916,387610,405955.5450784761,1.0122173630363238
kappa_capex,0.0299573227355399,0.032953055009093894,405865.7713123663,370796,405955.5450784761,-0.022114186441873514
financing_cost,0.05,0.05500000000000001,405810.32869784697,392664,405955.5450784761,-0.03577149823166829
financing_grid,[  0.   37.3  74.6 149.2 298.4],[  0.    41.03  82.06 164.12 328.24],411063.54434494086,391942,405955.5450784761,1.2582656717935334
M,1,1.1,447145.90347080294,384140,405955.5450784761,10.146519462953577
