parameter,base_value,new_value,V0,num_bankruptcies,V0_base,percentage_change_from_base
r_f,0.0075527253608402845,0.008307997896924314,320942.60457418376,113348,348121.0066507766,-7.80717094267664
mu_0,0.023439084126767068,0.025782992539443775,356438.740060829,109585,348121.0066507766,2.389322462920615
mu_mean,0.0075,0.00825,370107.28407966025,106788,348121.0066507766,6.315699716144839
sigma_0,0.1451906623264087,0.15970972855904958,325043.2878957721,110304,348121.0066507766,-6.629223262632731
sigma_mean,0.05,0.05500000000000001,325133.3823187397,110314,348121.0066507766,-6.60334305970145
eta_0,0.03,0.033,551389.405991549,142377,348121.0066507766,58.3901561403574
phi_0,0.06906491431177234,0.07597140574294957,329090.3213132283,119587,348121.0066507766,-5.466686862892841
phi_mean,0.03453245715588617,0.037985702871474784,341617.7777521552,113270,348121.0066507766,-1.8680943621265635
lambda_R,-0.0025658346912662937,-0.0028224181603929235,348751.4639753807,109436,348121.0066507766,0.1811029247185161
lambda_mu,-0.0017130822328052732,-0.0018843904560858007,348706.3124180099,109416,348121.0066507766,0.16813284922517419
lambda_gamma,0.0003337782005807283,0.00036715602063880115,348062.68213432346,109300,348121.0066507766,-0.0167540927835042
kappa_mu,0.09,0.099,213885.15667575333,61002,348121.0066507766,-38.56011197557067
kappa_eta,0.0299573227355399,0.032953055009093894,288074.83227750455,87740,348121.0066507766,-17.248650103298242
kappa_sigma,0.0299573227355399,0.032953055009093894,367861.8381380826,107216,348121.0066507766,5.670680915590173
kappa_gamma,0.0299573227355399,0.032953055009093894,353244.5024046087,97889,348121.0066507766,1.4717571350044452
kappa_phi,0.0299573227355399,0.032953055009093894,353553.56259217084,106497,348121.0066507766,1.5605366632884634
kappa_capex,0.0299573227355399,0.032953055009093894,341790.89004263136,83453,348121.0066507766,-1.8183667423711094
financing_cost,0.05,0.05500000000000001,348176.9551121392,109671,348121.0066507766,0.016071555664192376
financing_grid,[  0.    58.95 117.9  235.8  471.6 ],[  0.     64.845 129.69  259.38  518.76 ],382043.3495462361,100637,348121.0066507766,9.744411353345667
M,1,1.1,381296.35882811574,102814,348121.0066507766,9.52983346121929
