parameter,base_value,new_value,V0,num_bankruptcies,V0_base,percentage_change_from_base
r_f,0.0075527253608402845,0.008307997896924314,21090.72986762108,31046,21804.144994782917,-3.2719243397644564
mu_0,0.023439084126767068,0.025782992539443775,22196.631189979926,31617,21804.144994782917,1.8000531334336614
mu_mean,0.0075,0.00825,22133.12735794168,31494,21804.144994782917,1.5088065284719023
sigma_0,0.1451906623264087,0.15970972855904958,21302.96176025101,30267,21804.144994782917,-2.2985686191860473
sigma_mean,0.05,0.05500000000000001,21103.781185114804,31236,21804.144994782917,-3.2120672919561373
eta_0,0.03,0.033,22229.879734792856,47987,21804.144994782917,1.9525404005146934
phi_0,0.06906491431177234,0.07597140574294957,20659.620687423798,66659,21804.144994782917,-5.24911344899316
phi_mean,0.03453245715588617,0.037985702871474784,19936.586629643578,122354,21804.144994782917,-8.565152935766067
lambda_R,-0.0025658346912662937,-0.0028224181603929235,21836.879871499725,30911,21804.144994782917,0.1501314393416493
lambda_mu,-0.0017130822328052732,-0.0018843904560858007,21833.280700295898,30906,21804.144994782917,0.13362461825470517
lambda_gamma,0.0003337782005807283,0.00036715602063880115,21840.856284673213,30922,21804.144994782917,0.16836839921528657
kappa_mu,0.09,0.099,20241.726296439003,20768,21804.144994782917,-7.165695782695236
kappa_eta,0.0299573227355399,0.032953055009093894,21961.59562318096,30034,21804.144994782917,0.7221132882565116
kappa_sigma,0.0299573227355399,0.032953055009093894,22380.675230838475,32195,21804.144994782917,2.6441313621492815
kappa_gamma,0.0299573227355399,0.032953055009093894,25772.922570549497,30916,21804.144994782917,18.20194085443933
kappa_phi,0.0299573227355399,0.032953055009093894,22189.254459416563,29550,21804.144994782917,1.7662213525262798
kappa_capex,0.0299573227355399,0.032953055009093894,21919.312726025455,30924,21804.144994782917,0.5281919161246376
financing_cost,0.05,0.05500000000000001,21809.967812776165,30882,21804.144994782917,0.026705096643971547
financing_grid,[ 0.  5. 10. 20. 40.],[ 0.   5.5 11.  22.  44. ],21756.51538509796,30609,21804.144994782917,-0.21844291393381682
M,1,1.1,22585.523503064578,31376,21804.144994782917,3.5836237030556433
